codigo pais m49,codigo iso3,pais origen,anio,capitulo,valor dolares cif,valor dolares cif log,continente,region,bloque economico
76,BRA,Brasil,2025,Productos farmacéuticos,96107793.54,7.982758607,América,Sudamérica,BRICS
76,BRA,Brasil,2025,Productos químicos inorgánicos,25807246.69,7.411741673,América,Sudamérica,BRICS
76,BRA,Brasil,2025,Productos químicos orgánicos,33746769.43,7.528232204,América,Sudamérica,BRICS
76,BRA,Brasil,2025,"Reactores nucleares, calderas, máquinas y partes",269037434.38,8.429812713,América,Sudamérica,BRICS
76,BRA,Brasil,2025,Residuos industrias alimentarias. Alimentos para animales,103891645.29,8.016580624,América,Sudamérica,BRICS
76,BRA,Brasil,2025,TOTAL,3515636013.88,9.546003905,América,Sudamérica,BRICS
76,BRA,Brasil,2025,"Vehículos, partes y accesorios",928647117.11,8.967850715,América,Sudamérica,BRICS
96,BRN,Brunei Darussalam,2025,TOTAL,9210.7,3.964292637,Asia,Sudeste Asiático,
100,BGR,Bulgaria,2025,TOTAL,28057410.23,7.448047582,Europa,Europa Oriental,
854,BFA,Burkina Faso,2025,TOTAL,10880.85,4.036662823,África,Resto de África,
108,BDI,Burundi,2025,TOTAL,40191.92,4.604138753,África,Resto de África,
64,BTN,Bután,2025,TOTAL,27039.17,4.431993356,Asia,Asia Meridional,
56,BEL,Bélgica,2025,Productos farmacéuticos,136606358.79,8.135470915,Europa,Europa Occidental,OCDE
56,BEL,Bélgica,2025,TOTAL,660745312.68,8.820034091,Europa,Europa Occidental,OCDE
116,KHM,Camboya,2025,TOTAL,73587342.55,7.86680312,Asia,Sudeste Asiático,
120,CMR,Camerún,2025,TOTAL,39072.0,4.591865642,África,Resto de África,
124,CAN,Canadá,2025,Abonos,117880209.21,8.071440898,América,América del Norte,OCDE
124,CAN,Canadá,2025,Cereales,312098494.79,8.494291674,América,América del Norte,OCDE
124,CAN,Canadá,2025,Combustibles y aceites minerales y sus productos,4657745.12,6.668175719,América,América del Norte,OCDE
124,CAN,Canadá,2025,Grasas y aceites animales o vegetales,20036148.13,7.301814234,América,América del Norte,OCDE
124,CAN,Canadá,2025,Navegación aérea o espacial,15206325.09,7.182024271,América,América del Norte,OCDE
124,CAN,Canadá,2025,"Papel, cartón y sus manufacturas",17396495.76,7.240461776,América,América del Norte,OCDE
124,CAN,Canadá,2025,TOTAL,999693108.46,8.999866698,América,América del Norte,OCDE
124,CAN,Canadá,2025,"Vehículos, partes y accesorios",4399057.42,6.643359631,América,América del Norte,OCDE
148,TCD,Chad,2025,TOTAL,2984.74,3.474906506,África,Resto de África,
152,CHL,Chile,2025,Abonos,16573501.03,7.21941426,América,Sudamérica,OCDE
152,CHL,Chile,2025,Cobre y sus manufacturas,88191056.38,7.945424545,América,Sudamérica,OCDE
152,CHL,Chile,2025,Grasas y aceites animales o vegetales,2647243.23,6.422793846,América,Sudamérica,OCDE
152,CHL,Chile,2025,Materias plásticas y manufacturas,32418884.88,7.510798072,América,Sudamérica,OCDE
